,Unnamed: 0,facility_name,hospital_type,facility_id,address,city,state,violations,inspection_dates,distinct_investigations,Rural Status,to_geocode,lat_lng,lat,lng
0,1,EUREKA SPRINGS HOSPITAL COMMISSION,Critical Access Hospitals,41304,24 NORRIS STREET,EUREKA SPRINGS,AR,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2013-11-14, 2013-11-14",1,,"24 NORRIS STREET, EUREKA SPRINGS, AR","[36.4003588, -93.74440159999999]",36.4003588,-93.74440159999999
1,2,MERCY HOSPITAL BERRYVILLE,Critical Access Hospitals,41329,214 CARTER STREET,BERRYVILLE,AR,MEDICAL SCREENING EXAM,2016-08-02,1,,"214 CARTER STREET, BERRYVILLE, AR","[36.3589699, -93.5516979]",36.3589699,-93.5516979
2,3,GLENN MEDICAL CENTER,Critical Access Hospitals,51306,1133 W SYCAMORE ST,WILLOWS,CA,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2013-10-10, 2013-10-10",1,,"1133 W SYCAMORE ST, WILLOWS, CA","[39.5213602, -122.2084362]",39.5213602,-122.2084362
3,4,PROVIDENCE REDWOOD MEMORIAL HOSPITAL,Critical Access Hospitals,51318,3300 RENNER DRIVE,FORTUNA,CA,MEDICAL SCREENING EXAM,2018-04-19,1,,"3300 RENNER DRIVE, FORTUNA, CA","[40.5823366, -124.1363749]",40.5823366,-124.1363749
4,5,SOUTHEAST COLORADO HOSPITAL,Critical Access Hospitals,61311,373 E 10TH AVE,SPRINGFIELD,CO,APPROPRIATE TRANSFER,2018-05-22,1,,"373 E 10TH AVE, SPRINGFIELD, CO","[37.4044522, -102.6127409]",37.4044522,-102.6127409
5,6,SOUTHWEST MEMORIAL HOSPITAL,Critical Access Hospitals,61327,1311 N MILDRED RD,CORTEZ,CO,"DELAY IN EXAMINATION OR TREATMENT, POSTING OF SIGNS","2021-05-05, 2018-10-25",2,,"1311 N MILDRED RD, CORTEZ, CO","[37.3621911, -108.5744372]",37.3621911,-108.5744372
6,7,MONROE COUNTY HOSPITAL,Critical Access Hospitals,111318,88 MARTIN LUTHER KING JR DRIVE,FORSYTH,GA,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2014-09-12, 2014-09-12, 2014-09-12, 2014-09-12, 2014-09-12",1,Yes,"88 MARTIN LUTHER KING JR DRIVE, FORSYTH, GA","[33.0314778, -83.9453995]",33.0314778,-83.9453995
7,8,OPTIM MEDICAL CENTER - TATTNALL,Critical Access Hospitals,111323,247 S MAIN STREET,REIDSVILLE,GA,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2015-10-01, 2015-10-01, 2015-10-01",1,Yes,"247 S MAIN STREET, REIDSVILLE, GA","[32.0804405, -82.10904529999999]",32.0804405,-82.10904529999999
8,9,SHOSHONE MEDICAL CENTER,Critical Access Hospitals,131314,25 JACOBS GULCH ROAD,KELLOGG,ID,MEDICAL SCREENING EXAM,2018-05-31,1,Yes,"25 JACOBS GULCH ROAD, KELLOGG, ID","[47.5389209, -116.121528]",47.5389209,-116.121528
9,10,WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,141308,705 S GRAND AVE,NASHVILLE,IL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2018-01-16, 2018-01-16",1,Yes,"705 S GRAND AVE, NASHVILLE, IL","[38.3389563, -89.3913511]",38.3389563,-89.3913511
10,11,FAIRFIELD MEMORIAL HOSPITAL 1,Critical Access Hospitals,141311,303 N W 11TH STREET,FAIRFIELD,IL,MEDICAL SCREENING EXAM,2016-07-21,1,Yes,"303 N W 11TH STREET, FAIRFIELD, IL","[38.3812333, -88.37522919999999]",38.3812333,-88.37522919999999
11,12,GIBSON COMMUNITY HOSPITAL,Critical Access Hospitals,141317,1120 N MELVIN STREET,GIBSON CITY,IL,MEDICAL SCREENING EXAM,2013-04-18,1,Yes,"1120 N MELVIN STREET, GIBSON CITY, IL","[40.47852760000001, -88.3702179]",40.47852760000001,-88.3702179
12,13,HAMMOND HENRY HOSPITAL,Critical Access Hospitals,141319,600 N COLLEGE AVENUE,GENESEO,IL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2017-11-08, 2017-11-08",1,Yes,"600 N COLLEGE AVENUE, GENESEO, IL","[41.4600653, -90.1578376]",41.4600653,-90.1578376
13,14,MASSAC MEMORIAL HOSPITAL,Critical Access Hospitals,141323,"28 CHICK STREET, PO BOX 850",METROPOLIS,IL,APPROPRIATE TRANSFER,2015-07-23,1,Yes,"28 CHICK STREET, PO BOX 850, METROPOLIS, IL","[37.1661604, -88.73955169999999]",37.1661604,-88.73955169999999
14,15,TAYLORVILLE MEMORIAL HOSPITAL,Critical Access Hospitals,141339,201 EAST PLEASANT STREET,TAYLORVILLE,IL,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2022-09-02, 2022-09-02",1,Yes,"201 EAST PLEASANT STREET, TAYLORVILLE, IL","[39.5550958, -89.2939243]",39.5550958,-89.2939243
15,16,LAWRENCE COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,141344,2200 STATE ST,LAWRENCEVILLE,IL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2020-12-17, 2020-12-17",1,Yes,"2200 STATE ST, LAWRENCEVILLE, IL","[38.7286375, -87.6937808]",38.7286375,-87.6937808
16,17,ASCENSION ST VINCENT MERCY,Critical Access Hospitals,151308,1331 S A ST,ELWOOD,IN,APPROPRIATE TRANSFER,2021-04-23,1,Yes,"1331 S A ST, ELWOOD, IN","[40.2755784, -85.8438248]",40.2755784,-85.8438248
17,18,DECATUR COUNTY HOSPITAL,Critical Access Hospitals,161340,1405 NW CHURCH STREET,LEON,IA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2017-06-08, 2017-06-08",1,Yes,"1405 NW CHURCH STREET, LEON, IA","[40.7509899, -93.7468416]",40.7509899,-93.7468416
18,19,AVERA HOLY FAMILY HOSPITAL,Critical Access Hospitals,161351,826 NORTH 8TH STREET,ESTHERVILLE,IA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2021-05-19, 2021-05-19",1,Yes,"826 NORTH 8TH STREET, ESTHERVILLE, IA","[43.4100071, -94.83383649999999]",43.4100071,-94.83383649999999
19,20,CLARINDA REGIONAL HEALTH CENTER,Critical Access Hospitals,161352,220 ESSIE DAVISON DRIVE,CLARINDA,IA,"COMPLIANCE WITH 489.24, STABILIZING TREATMENT","2017-12-06, 2017-12-06",1,Yes,"220 ESSIE DAVISON DRIVE, CLARINDA, IA","[40.7234542, -95.0431997]",40.7234542,-95.0431997
20,21,PALO ALTO COUNTY HOSPITAL,Critical Access Hospitals,161357,3201 1ST STREET,EMMETSBURG,IA,EMERGENCY ROOM LOG,2015-02-17,1,Yes,"3201 1ST STREET, EMMETSBURG, IA","[43.1201545, -94.691306]",43.1201545,-94.691306
21,22,SHENANDOAH MEDICAL CENTER,Critical Access Hospitals,161366,300 PERSHING AVENUE,SHENANDOAH,IA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2018-01-10, 2018-01-10",1,Yes,"300 PERSHING AVENUE, SHENANDOAH, IA","[40.7527521, -95.3692562]",40.7527521,-95.3692562
22,23,MAHASKA  HEALTH PARTNERSHIP,Critical Access Hospitals,161379,1229 C AVENUE EAST,OSKALOOSA,IA,"COMPLIANCE WITH 489.24, APPROPRIATE TRANSFER, COMPLIANCE WITH 489.24, STABILIZING TREATMENT","2012-04-19, 2012-04-19, 2017-09-28, 2017-09-28",2,Yes,"1229 C AVENUE EAST, OSKALOOSA, IA","[41.2995262, -92.6297829]",41.2995262,-92.6297829
23,24,SHERIDAN COUNTY HOSPITAL,Critical Access Hospitals,171347,826  18TH STREET,HOXIE,KS,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2015-02-05, 2015-02-05",1,Yes,"826  18TH STREET, HOXIE, KS","[39.3543705, -100.431754]",39.3543705,-100.431754
24,25,MARCUM & WALLACE MEMORIAL HOSPITAL,Critical Access Hospitals,181301,60 MERCY COURT,IRVINE,KY,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2014-09-08, 2014-09-08",1,Yes,"60 MERCY COURT, IRVINE, KY","[37.7061212, -83.97726589999999]",37.7061212,-83.97726589999999
25,26,OHIO COUNTY HOSPITAL,Critical Access Hospitals,181323,1211 OLD MAIN STREET,HARTFORD,KY,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2012-05-18, 2012-05-18, 2012-05-18, 2012-05-18",1,Yes,"1211 OLD MAIN STREET, HARTFORD, KY","[37.4484566, -86.8964238]",37.4484566,-86.8964238
26,27,PREVOST MEMORIAL HOSPITAL,Critical Access Hospitals,191308,301 MEMORIAL DR,DONALDSONVILLE,LA,MEDICAL SCREENING EXAM,2022-04-25,1,Yes,"301 MEMORIAL DR, DONALDSONVILLE, LA","[30.0886225, -91.0027593]",30.0886225,-91.0027593
27,28,SCHEURER HOSPITAL,Critical Access Hospitals,231310,170 N CASEVILLE RD,PIGEON,MI,MEDICAL SCREENING EXAM,2019-03-13,1,Yes,"170 N CASEVILLE RD, PIGEON, MI","[43.8342045, -83.278195]",43.8342045,-83.278195
28,29,ASCENSION BORGESS LEE HOSPITAL,Critical Access Hospitals,231315,420 W HIGH ST,DOWAGIAC,MI,STABILIZING TREATMENT,2013-06-07,1,Yes,"420 W HIGH ST, DOWAGIAC, MI","[41.9833372, -86.115298]",41.9833372,-86.115298
29,30,"ASPIRUS IRON RIVER HOSPITAL & CLINICS, INC",Critical Access Hospitals,231318,1400 W ICE LAKE ROAD,IRON RIVER,MI,APPROPRIATE TRANSFER,2011-03-29,1,Yes,"1400 W ICE LAKE ROAD, IRON RIVER, MI","[46.0997441, -88.6192244]",46.0997441,-88.6192244
30,31,SWIFT COUNTY BENSON HEALTH SERVICES,Critical Access Hospitals,241365,1815 WISCONSIN AVENUE,BENSON,MN,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2011-12-15, 2011-12-15, 2016-01-20, 2016-01-20",2,Yes,"1815 WISCONSIN AVENUE, BENSON, MN","[45.314234, -95.60907809999999]",45.314234,-95.60907809999999
31,32,JEFFERSON DAVIS COMMUNITY HOSPITAL CAH,Critical Access Hospitals,251326,1102 ROSE STREET,PRENTISS,MS,MEDICAL SCREENING EXAM,2014-07-09,1,Yes,"1102 ROSE STREET, PRENTISS, MS","[31.5941875, -89.8728259]",31.5941875,-89.8728259
32,33,I-70 COMMUNITY HOSPITAL,Critical Access Hospitals,261334,"105 HOSPITAL DRIVE, BUILDING B",SWEET SPRINGS,MO,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2018-11-16, 2018-11-16",1,,"105 HOSPITAL DRIVE, BUILDING B, SWEET SPRINGS, MO","[38.9636292, -93.4149319]",38.9636292,-93.4149319
33,34,MARIAS MEDICAL CENTER,Critical Access Hospitals,271328,640 PARK AVE,SHELBY,MT,MEDICAL SCREENING EXAM,2021-10-13,1,Yes,"640 PARK AVE, SHELBY, MT","[48.509745, -111.849463]",48.509745,-111.849463
34,35,BILLINGS CLINIC BROADWATER,Critical Access Hospitals,271333,110 N OAK ST,TOWNSEND,MT,MEDICAL SCREENING EXAM,2012-06-12,1,Yes,"110 N OAK ST, TOWNSEND, MT","[46.3220461, -111.5162913]",46.3220461,-111.5162913
35,36,BIG HORN HOSPITAL,Critical Access Hospitals,271338,17 N MILES,HARDIN,MT,APPROPRIATE TRANSFER,2015-05-13,1,Yes,"17 N MILES, HARDIN, MT","[45.7288852, -107.6162151]",45.7288852,-107.6162151
36,37,HARLAN COUNTY HEALTH SYSTEM,Critical Access Hospitals,281300,"P O BOX 836, 717 BROWN ST",ALMA,NE,MEDICAL SCREENING EXAM,2011-04-06,1,Yes,"P O BOX 836, 717 BROWN ST, ALMA, NE","[40.1050858, -99.36531389999999]",40.1050858,-99.36531389999999
37,38,SAUNDERS MEDICAL CENTER,Critical Access Hospitals,281307,1760 COUNTY RD J,WAHOO,NE,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2015-01-21, 2015-01-21",1,Yes,"1760 COUNTY RD J, WAHOO, NE","[41.1934238, -96.63566999999999]",41.1934238,-96.63566999999999
38,39,GENOA COMMUNITY HOSPITAL,Critical Access Hospitals,281312,"P O BOX 310, 706 EWING AVE",GENOA,NE,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2021-05-12, 2021-05-12, 2021-05-12",1,Yes,"P O BOX 310, 706 EWING AVE, GENOA, NE","[41.4438882, -97.7325043]",41.4438882,-97.7325043
39,40,CHI HEALTH SCHUYLER,Critical Access Hospitals,281323,104 WEST 17TH ST,SCHUYLER,NE,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2012-07-05, 2012-07-05, 2012-07-05",1,Yes,"104 WEST 17TH ST, SCHUYLER, NE","[41.455672, -97.06051579999999]",41.455672,-97.06051579999999
40,41,CALLAWAY DISTRICT HOSPITAL,Critical Access Hospitals,281335,"P O BOX 100, 211 E KIMBALL",CALLAWAY,NE,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2016-11-02, 2016-11-02",1,Yes,"P O BOX 100, 211 E KIMBALL, CALLAWAY, NE","[41.2912045, -99.92319719999999]",41.2912045,-99.92319719999999
41,42,DUNDY COUNTY HOSPITAL,Critical Access Hospitals,281340,"P O BOX 626, 1313 NORTH CHEYENNE ST",BENKELMAN,NE,MEDICAL SCREENING EXAM,2017-08-10,1,Yes,"P O BOX 626, 1313 NORTH CHEYENNE ST, BENKELMAN, NE","[40.0561471, -101.537264]",40.0561471,-101.537264
42,43,OSMOND GENERAL HOSPITAL,Critical Access Hospitals,281347,"P O BOX 429, 402 NORTH MAPLE ST",OSMOND,NE,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2021-01-14, 2021-01-14",1,Yes,"P O BOX 429, 402 NORTH MAPLE ST, OSMOND, NE","[42.3602665, -97.5958776]",42.3602665,-97.5958776
43,44,LEXINGTON REGIONAL HEALTH CENTER,Critical Access Hospitals,281361,"P O BOX 980, 1201 NORTH ERIE ST",LEXINGTON,NE,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2018-12-04, 2018-12-04, 2018-12-04",1,Yes,"P O BOX 980, 1201 NORTH ERIE ST, LEXINGTON, NE","[40.7808398, -99.74150449999999]",40.7808398,-99.74150449999999
44,45,JENNIE M MELHAM MEMORIAL MEDICAL CENTER,Critical Access Hospitals,281365,145 MEMORIAL DRIVE,BROKEN BOW,NE,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2017-04-13, 2017-04-13, 2019-01-14, 2019-01-14",2,Yes,"145 MEMORIAL DRIVE, BROKEN BOW, NE","[41.4094623, -99.63187309999999]",41.4094623,-99.63187309999999
45,46,WASHINGTON COUNTY HOSP INC,Critical Access Hospitals,341314,958 US HWY 64 EAST,PLYMOUTH,NC,APPROPRIATE TRANSFER,2016-01-28,1,Yes,"958 US HWY 64 EAST, PLYMOUTH, NC","[35.8625682, -76.7292315]",35.8625682,-76.7292315
46,47,MOUNTRAIL COUNTY MEDICAL CENTER INC,Critical Access Hospitals,351301,615 6TH ST SE,STANLEY,ND,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2020-08-03, 2020-08-03",1,Yes,"615 6TH ST SE, STANLEY, ND","[48.3112245, -102.3800896]",48.3112245,-102.3800896
47,48,CARRINGTON HEALTH CENTER,Critical Access Hospitals,351318,PO BOX 461,CARRINGTON,ND,APPROPRIATE TRANSFER,2011-01-14,1,Yes,"PO BOX 461, CARRINGTON, ND","[47.44972010000001, -99.1262234]",47.44972010000001,-99.1262234
48,49,SMP HEALTH ST ALOISIUS,Critical Access Hospitals,351327,325 E BREWSTER ST,HARVEY,ND,APPROPRIATE TRANSFER,2021-11-04,1,Yes,"325 E BREWSTER ST, HARVEY, ND","[47.7674177, -99.9272767]",47.7674177,-99.9272767
49,50,JAMESTOWN REGIONAL MEDICAL CENTER,Critical Access Hospitals,351335,2422 20TH ST SW,JAMESTOWN,ND,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2018-07-27, 2018-07-27",1,Yes,"2422 20TH ST SW, JAMESTOWN, ND","[46.8903442, -98.74690559999999]",46.8903442,-98.74690559999999
50,51,"MERCY HOSPITAL WATONGA, INC",Critical Access Hospitals,371302,500 NORTH CLARENCE NASH BOULEVARD,WATONGA,OK,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2013-04-12, 2013-04-12, 2013-04-12",1,Yes,"500 NORTH CLARENCE NASH BOULEVARD, WATONGA, OK","[35.8495256, -98.4187651]",35.8495256,-98.4187651
51,52,THE PHYSICIANS' HOSPITAL IN ANADARKO,Critical Access Hospitals,371314,1002 E CENTRAL BLVD,ANADARKO,OK,MEDICAL SCREENING EXAM,2016-12-30,1,Yes,"1002 E CENTRAL BLVD, ANADARKO, OK","[35.070657, -98.22828]",35.070657,-98.22828
52,53,CORDELL MEMORIAL HOSPITAL,Critical Access Hospitals,371325,1220 NORTH GLENN ENGLISH STREET,CORDELL,OK,MEDICAL SCREENING EXAM,2021-04-16,1,Yes,"1220 NORTH GLENN ENGLISH STREET, CORDELL, OK","[35.3031155, -98.9885929]",35.3031155,-98.9885929
53,54,SOUTHERN COOS HOSPITAL & HEALTH CENTER,Critical Access Hospitals,381304,900 11TH STREET SE,BANDON,OR,"EMERGENCY ROOM LOG, APPROPRIATE TRANSFER","2019-01-31, 2019-01-31",1,Yes,"900 11TH STREET SE, BANDON, OR","[43.1124712, -124.4020616]",43.1124712,-124.4020616
54,55,"SAINT ALPHONSUS MEDICAL CENTER - BAKER CITY, INC",Critical Access Hospitals,381315,3325 POCAHONTAS ROAD,BAKER CITY,OR,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2018-12-11, 2018-12-11, 2018-12-11",1,Yes,"3325 POCAHONTAS ROAD, BAKER CITY, OR","[44.79500540000001, -117.8473558]",44.79500540000001,-117.8473558
55,56,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,Critical Access Hospitals,381318,810 12TH STREET,HOOD RIVER,OR,"EMERGENCY ROOM LOG, APPROPRIATE TRANSFER","2014-10-09, 2014-10-09",1,Yes,"810 12TH STREET, HOOD RIVER, OR","[45.7048772, -121.5244749]",45.7048772,-121.5244749
56,57,GOOD SHEPHERD MEDICAL CENTER,Critical Access Hospitals,381325,610 NW 11TH STREET,HERMISTON,OR,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2019-11-20, 2019-11-20",1,Yes,"610 NW 11TH STREET, HERMISTON, OR","[45.8465966, -119.3095083]",45.8465966,-119.3095083
57,58,TRISTAR ASHLAND CITY MEDICAL CENTER,Critical Access Hospitals,441311,313 NORTH MAIN ST,ASHLAND CITY,TN,MEDICAL SCREENING EXAM,2015-02-13,1,Yes,"313 NORTH MAIN ST, ASHLAND CITY, TN","[36.2771154, -87.06562629999999]",36.2771154,-87.06562629999999
58,59,COLUMBIA BASIN HOSPITAL,Critical Access Hospitals,501317,200 NAT WASHINGTON WAY,EPHRATA,WA,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2018-01-24, 2018-01-24",1,Yes,"200 NAT WASHINGTON WAY, EPHRATA, WA","[47.31458869999999, -119.5468549]",47.31458869999999,-119.5468549
59,60,ASTRIA SUNNYSIDE HOSPITAL,Critical Access Hospitals,501330,1016 TACOMA AVENUE,SUNNYSIDE,WA,"STABILIZING TREATMENT, APPROPRIATE TRANSFER","2019-10-29, 2019-10-29",1,Yes,"1016 TACOMA AVENUE, SUNNYSIDE, WA","[46.3226622, -120.006727]",46.3226622,-120.006727
60,61,PRESTON MEMORIAL HOSPITAL,Critical Access Hospitals,511312,150 MEMORIAL DRIVE,KINGWOOD,WV,APPROPRIATE TRANSFER,2011-03-11,1,Yes,"150 MEMORIAL DRIVE, KINGWOOD, WV","[39.4651358, -79.6777494]",39.4651358,-79.6777494
61,62,MAYO CLINIC HEALTH SYSTEM-NORTHLAND,Critical Access Hospitals,521315,1222 E WOODLAND AVE,BARRON,WI,"COMPLIANCE WITH 489.24, APPROPRIATE TRANSFER","2019-02-05, 2019-02-05",1,Yes,"1222 E WOODLAND AVE, BARRON, WI","[45.3976743, -91.840142]",45.3976743,-91.840142
62,63,GRANT REGIONAL HEALTH CENTER,Critical Access Hospitals,521322,507 S MONROE ST,LANCASTER,WI,MEDICAL SCREENING EXAM,2012-01-19,1,Yes,"507 S MONROE ST, LANCASTER, WI","[42.84408519999999, -90.7088946]",42.84408519999999,-90.7088946
63,64,SPOONER HEALTH SYSTEM,Critical Access Hospitals,521332,1280 CHANDLER DR,SPOONER,WI,RECEIVING AN INAPPROPRIATE TRANSFER,2017-10-19,1,Yes,"1280 CHANDLER DR, SPOONER, WI","[45.8413943, -91.87194620000001]",45.8413943,-91.87194620000001
64,65,PRAIRIE RIDGE HEALTH,Critical Access Hospitals,521338,1515 PARK AVE,COLUMBUS,WI,APPROPRIATE TRANSFER,2016-02-05,1,Yes,"1515 PARK AVE, COLUMBUS, WI","[43.322528, -89.035324]",43.322528,-89.035324
65,66,INDIANHEAD MEDICAL CENTER SHELL LAKE,Critical Access Hospitals,521342,113 4TH AVE,SHELL LAKE,WI,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2017-10-20, 2017-10-20",1,Yes,"113 4TH AVE, SHELL LAKE, WI","[45.74231090000001, -91.9265467]",45.74231090000001,-91.9265467
66,67,SOUTHEAST HEALTH MEDICAL CENTER,Short Term,10001,1108 ROSS CLARK CIRCLE,DOTHAN,AL,"COMPLIANCE WITH 489.24, RECIPIENT HOSPITAL RESPONSIBILITIES","2021-08-02, 2021-08-02",1,,"1108 ROSS CLARK CIRCLE, DOTHAN, AL","[31.2150029, -85.3630866]",31.2150029,-85.3630866
67,68,BAPTIST MEDICAL CENTER SOUTH,Short Term,10023,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,"COMPLIANCE WITH 489.24, RECIPIENT HOSPITAL RESPONSIBILITIES","2019-10-10, 2019-10-10",1,,"2105 EAST SOUTH BOULEVARD, MONTGOMERY, AL","[32.3279361, -86.27711730000001]",32.3279361,-86.27711730000001
68,69,FLOWERS HOSPITAL,Short Term,10055,4370 WEST MAIN STREET,DOTHAN,AL,MEDICAL SCREENING EXAM,2019-07-18,1,,"4370 WEST MAIN STREET, DOTHAN, AL","[31.23790679999999, -85.45675700000001]",31.23790679999999,-85.45675700000001
69,70,WIREGRASS MEDICAL CENTER,Short Term,10062,1200 W MAPLE AVENUE,GENEVA,AL,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2017-06-29, 2017-06-29, 2017-06-29, 2017-06-29",1,,"1200 W MAPLE AVENUE, GENEVA, AL","[31.0491568, -85.8916728]",31.0491568,-85.8916728
70,71,HALE COUNTY HOSPITAL,Short Term,10095,508 GREEN STREET,GREENSBORO,AL,"COMPLIANCE WITH 489.24, HOSPITAL MUST MAINTAIN RECORDS, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2014-06-05, 2014-06-05, 2014-06-05, 2014-06-05",1,,"508 GREEN STREET, GREENSBORO, AL","[32.695468, -87.5869252]",32.695468,-87.5869252
71,72,CITIZENS BAPTIST MEDICAL CENTER,Short Term,10101,604 STONE AVENUE,TALLADEGA,AL,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2013-08-23, 2013-08-23, 2013-08-23, 2013-08-23",1,,"604 STONE AVENUE, TALLADEGA, AL","[33.440257, -86.0906268]",33.440257,-86.0906268
72,73,TROY REGIONAL MEDICAL CENTER,Short Term,10126,1330 HIGHWAY 231 SOUTH,TROY,AL,APPROPRIATE TRANSFER,2021-10-27,1,,"1330 HIGHWAY 231 SOUTH, TROY, AL","[31.7850797, -85.9604111]",31.7850797,-85.9604111
