,Unnamed: 0,facility_name,hospital_type,facility_id,address,city,state,violations,inspection_dates,distinct_investigations,Rural Status,to_geocode,lat_lng,lat,lng
73,74,BAPTIST MEDICAL CENTER EAST,Short Term,10149,400 TAYLOR ROAD,MONTGOMERY,AL,"COMPLIANCE WITH 489.24, RECIPIENT HOSPITAL RESPONSIBILITIES","2019-10-10, 2019-10-10",1,,"400 TAYLOR ROAD, MONTGOMERY, AL","[32.3757202, -86.1746196]",32.3757202,-86.1746196
74,75,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA,Short Term,10150,29 L V STABLER DRIVE,GREENVILLE,AL,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2014-09-15, 2014-09-15, 2014-09-15, 2014-09-15",1,,"29 L V STABLER DRIVE, GREENVILLE, AL","[31.8290939, -86.64627]",31.8290939,-86.64627
75,76,PROVIDENCE ALASKA MEDICAL CENTER,Short Term,20001,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,MEDICAL SCREENING EXAM,2014-08-21,1,,"3200 PROVIDENCE DRIVE, ANCHORAGE, AK","[61.1866256, -149.8221354]",61.1866256,-149.8221354
76,77,TUCSON MEDICAL CENTER,Short Term,30006,5301 EAST GRANT ROAD,TUCSON,AZ,MEDICAL SCREENING EXAM,2015-07-16,1,,"5301 EAST GRANT ROAD, TUCSON, AZ","[32.2534865, -110.8796797]",32.2534865,-110.8796797
77,78,ST. MARY'S HOSPITAL,Short Term,30010,1601 WEST ST MARY'S ROAD,TUCSON,AZ,MEDICAL SCREENING EXAM,2011-08-04,1,,"1601 WEST ST MARY'S ROAD, TUCSON, AZ","[32.2539787, -110.9741769]",32.2539787,-110.9741769
78,79,VALLEYWISE HEALTH MEDICAL CENTER,Short Term,30022,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2021-10-09, 2021-10-09, 2021-10-09",1,,"2601 EAST ROOSEVELT STREET, PHOENIX, AZ","[33.4573098, -112.0261191]",33.4573098,-112.0261191
79,80,ABRAZO ARROWHEAD CAMPUS,Short Term,30094,18701 NORTH 67TH AVENUE,GLENDALE,AZ,EMERGENCY ROOM LOG,2018-11-29,1,,"18701 NORTH 67TH AVENUE, GLENDALE, AZ","[33.6547083, -112.2011817]",33.6547083,-112.2011817
80,81,ABRAZO WEST CAMPUS,Short Term,30110,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,DELAY IN EXAMINATION OR TREATMENT,2013-09-23,1,,"13677 WEST MCDOWELL ROAD, GOODYEAR, AZ","[33.4625907, -112.3520988]",33.4625907,-112.3520988
81,82,NORTH METRO MEDICAL CENTER,Short Term,40074,1400 BRADEN STREET,JACKSONVILLE,AR,EMERGENCY ROOM LOG,2019-07-23,1,,"1400 BRADEN STREET, JACKSONVILLE, AR","[34.8736687, -92.1248324]",34.8736687,-92.1248324
82,83,MEDICAL CENTER OF SOUTH ARKANSAS,Short Term,40088,700 WEST GROVE STREET,EL DORADO,AR,APPROPRIATE TRANSFER,2014-06-23,1,,"700 WEST GROVE STREET, EL DORADO, AR","[33.2215537, -92.67097969999999]",33.2215537,-92.67097969999999
83,84,SUTTER AMADOR HOSPITAL,Short Term,50014,200 MISSION BLVD,JACKSON,CA,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2013-04-12, 2013-04-12, 2013-04-12",1,,"200 MISSION BLVD, JACKSON, CA","[38.3504826, -120.764465]",38.3504826,-120.764465
84,85,SANTA CLARA VALLEY MEDICAL CENTER,Short Term,50038,751 SOUTH BASCOM AVENUE,SAN JOSE,CA,"MEDICAL SCREENING EXAM, EMERGENCY ROOM LOG","2012-03-07, 2012-03-07",1,,"751 SOUTH BASCOM AVENUE, SAN JOSE, CA","[37.3156102, -121.932964]",37.3156102,-121.932964
85,86,SAN GORGONIO MEMORIAL HOSPITAL,Short Term,50054,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2015-03-12, 2015-03-12, 2015-03-12",1,,"600 NORTH HIGHLAND SPRINGS AVENUE, BANNING, CA","[33.9316874, -116.9461472]",33.9316874,-116.9461472
86,87,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,Short Term,50078,1300 W 7TH ST,SAN PEDRO,CA,"MEDICAL SCREENING EXAM, DELAY IN EXAMINATION OR TREATMENT, APPROPRIATE TRANSFER","2019-11-06, 2019-11-06, 2019-11-06",1,,"1300 W 7TH ST, SAN PEDRO, CA","[33.7382583, -118.305098]",33.7382583,-118.305098
87,88,SAN MATEO MEDICAL CENTER,Short Term,50113,222 W 39TH AVE,SAN MATEO,CA,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2016-09-14, 2016-09-14",1,,"222 W 39TH AVE, SAN MATEO, CA","[37.5307466, -122.2991144]",37.5307466,-122.2991144
88,89,DAMERON HOSPITAL,Short Term,50122,525 WEST ACACIA STREET,STOCKTON,CA,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2022-04-22, 2022-04-22, 2022-04-22",1,,"525 WEST ACACIA STREET, STOCKTON, CA","[37.9618613, -121.3007743]",37.9618613,-121.3007743
89,90,REGIONAL MEDICAL CENTER OF SAN JOSE,Short Term,50125,225 N JACKSON AVENUE,SAN JOSE,CA,ON CALL PHYSICIANS,2021-07-21,1,,"225 N JACKSON AVENUE, SAN JOSE, CA","[37.3622057, -121.8489667]",37.3622057,-121.8489667
90,91,SAN JOAQUIN GENERAL HOSPITAL,Short Term,50167,500 W HOSPITAL ROAD,FRENCH CAMP,CA,MEDICAL SCREENING EXAM,2012-11-15,1,,"500 W HOSPITAL ROAD, FRENCH CAMP, CA","[37.8861911, -121.2834797]",37.8861911,-121.2834797
91,92,SEQUOIA HOSPITAL,Short Term,50197,170 ALAMEDA DE LAS PULGAS,REDWOOD CITY,CA,"EMERGENCY ROOM LOG, STABILIZING TREATMENT","2015-02-20, 2015-02-20",1,,"170 ALAMEDA DE LAS PULGAS, REDWOOD CITY, CA","[37.479843, -122.2546654]",37.479843,-122.2546654
92,93,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Short Term,50226,1111 W LA PALMA AVENUE,ANAHEIM,CA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2015-02-24, 2015-02-24, 2015-02-24",1,,"1111 W LA PALMA AVENUE, ANAHEIM, CA","[33.8480384, -117.9335044]",33.8480384,-117.9335044
93,94,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,Short Term,50228,1001 POTRERO AVENUE,SAN FRANCISCO,CA,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2015-04-10, 2015-04-10",1,,"1001 POTRERO AVENUE, SAN FRANCISCO, CA","[37.7556659, -122.4050756]",37.7556659,-122.4050756
94,95,MERCY MEDICAL CENTER REDDING,Short Term,50280,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2014-06-04, 2014-06-04",1,,"2175 ROSALINE AVE, CLAIRMONT HGTS, REDDING, CA","[40.5865396, -122.3916754]",40.5865396,-122.3916754
95,96,ST MARY MEDICAL CENTER,Short Term,50300,18300 HIGHWAY 18,APPLE VALLEY,CA,MEDICAL SCREENING EXAM,2014-11-25,1,,"18300 HIGHWAY 18, APPLE VALLEY, CA","[34.5416051, -117.2656827]",34.5416051,-117.2656827
96,97,EL CAMINO HOSPITAL,Short Term,50308,2500 GRANT ROAD,MOUNTAIN VIEW,CA,"STABILIZING TREATMENT, POSTING OF SIGNS, EMERGENCY ROOM LOG","2013-07-16, 2011-02-24, 2011-02-24",2,,"2500 GRANT ROAD, MOUNTAIN VIEW, CA","[37.3697513, -122.0789275]",37.3697513,-122.0789275
97,98,SUTTER ROSEVILLE MEDICAL CENTER,Short Term,50309,ONE MEDICAL PLAZA,ROSEVILLE,CA,MEDICAL SCREENING EXAM,2016-04-06,1,,"ONE MEDICAL PLAZA, ROSEVILLE, CA","[38.7653475, -121.2473733]",38.7653475,-121.2473733
98,99,KERN MEDICAL CENTER,Short Term,50315,1700 MOUNT VERNON AVENUE,BAKERSFIELD,CA,ON CALL PHYSICIANS,2014-01-30,1,,"1700 MOUNT VERNON AVENUE, BAKERSFIELD, CA","[35.3828699, -118.970257]",35.3828699,-118.970257
99,100,HIGHLAND HOSPITAL,Short Term,50320,1411 EAST 31ST STREET,OAKLAND,CA,APPROPRIATE TRANSFER,2017-06-20,1,,"1411 EAST 31ST STREET, OAKLAND, CA","[37.7990596, -122.2325063]",37.7990596,-122.2325063
100,101,HEMET GLOBAL MEDICAL CENTER,Short Term,50390,1117 EAST DEVONSHIRE,HEMET,CA,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2016-01-14, 2016-01-14, 2016-01-14",1,,"1117 EAST DEVONSHIRE, HEMET, CA","[33.7503708, -116.9601303]",33.7503708,-116.9601303
101,102,KAISER FOUNDATION HOSPITAL - SACRAMENTO,Short Term,50425,2025 MORSE AVENUE,SACRAMENTO,CA,"STABILIZING TREATMENT, APPROPRIATE TRANSFER","2020-03-04, 2020-03-04",1,,"2025 MORSE AVENUE, SACRAMENTO, CA","[38.6019048, -121.3924641]",38.6019048,-121.3924641
102,103,SUTTER AUBURN FAITH HOSPITAL,Short Term,50498,11815 EDUCATION STREET,AUBURN,CA,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER, COMPLIANCE WITH 489.24","2014-07-24, 2014-07-24, 2014-07-24, 2014-07-24",1,,"11815 EDUCATION STREET, AUBURN, CA","[38.9452952, -121.1006825]",38.9452952,-121.1006825
103,104,JOHN F KENNEDY MEMORIAL HOSPITAL,Short Term,50534,47111 MONROE STREET,INDIO,CA,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT, DELAY IN EXAMINATION OR TREATMENT","2014-04-23, 2014-04-23, 2014-04-23",1,,"47111 MONROE STREET, INDIO, CA","[33.7061109, -116.2353527]",33.7061109,-116.2353527
104,105,LAKEWOOD REGIONAL MEDICAL CENTER,Short Term,50581,3700 SOUTH ST,LAKEWOOD,CA,APPROPRIATE TRANSFER,2021-12-10,1,,"3700 SOUTH ST, LAKEWOOD, CA","[33.8596883, -118.1482913]",33.8596883,-118.1482913
105,106,LOS ANGELES COMMUNITY HOSPITAL,Short Term,50663,4081 E OLYMPIC BLVD,LOS ANGELES,CA,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2015-08-18, 2015-08-18, 2015-08-18, 2015-08-18, 2015-08-18",1,,"4081 E OLYMPIC BLVD, LOS ANGELES, CA","[34.0193498, -118.1865467]",34.0193498,-118.1865467
106,107,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",Short Term,50686,10800 MAGNOLIA AVENUE,RIVERSIDE,CA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2017-11-30, 2017-11-30, 2017-11-30, 2017-11-30",1,,"10800 MAGNOLIA AVENUE, RIVERSIDE, CA","[33.9054214, -117.4678433]",33.9054214,-117.4678433
107,108,ALVARADO HOSPITAL MEDICAL CENTER,Short Term,50757,6655 ALVARADO ROAD,SAN DIEGO,CA,APPROPRIATE TRANSFER,2016-02-25,1,,"6655 ALVARADO ROAD, SAN DIEGO, CA","[32.7766415, -117.0573188]",32.7766415,-117.0573188
108,109,SHASTA REGIONAL MEDICAL CENTER,Short Term,50764,1100 BUTTE ST,REDDING,CA,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2017-10-17, 2017-10-17",1,,"1100 BUTTE ST, REDDING, CA","[40.5855541, -122.3877573]",40.5855541,-122.3877573
109,110,NORTH COLORADO MEDICAL CENTER,Short Term,60001,1801 16TH ST,GREELEY,CO,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2014-08-07, 2014-08-07",1,,"1801 16TH ST, GREELEY, CO","[40.4146785, -104.7101695]",40.4146785,-104.7101695
110,111,CENTURA LONGMONT UNITED HOSPITAL,Short Term,60003,1950 MOUNTAIN VIEW AVE,LONGMONT,CO,"STABILIZING TREATMENT, APPROPRIATE TRANSFER","2014-07-30, 2014-07-30",1,,"1950 MOUNTAIN VIEW AVE, LONGMONT, CO","[40.1822195, -105.1260783]",40.1822195,-105.1260783
111,112,SAN LUIS VALLEY HEALTH,Short Term,60008,106 BLANCA AVE,ALAMOSA,CO,"EMERGENCY ROOM LOG, EMERGENCY ROOM LOG","2012-04-12, 2012-06-22",2,,"106 BLANCA AVE, ALAMOSA, CO","[37.4724787, -105.882886]",37.4724787,-105.882886
112,113,"PARKVIEW MEDICAL CENTER, INC",Short Term,60020,400 W 16TH ST,PUEBLO,CO,APPROPRIATE TRANSFER,2013-11-06,1,,"400 W 16TH ST, PUEBLO, CO","[38.2817831, -104.612694]",38.2817831,-104.612694
113,114,CENTURA AVISTA ADVENTIST HOSPITAL,Short Term,60103,100 HEALTH PARK DR,LOUISVILLE,CO,APPROPRIATE TRANSFER,2012-03-08,1,,"100 HEALTH PARK DR, LOUISVILLE, CO","[39.9512057, -105.1526749]",39.9512057,-105.1526749
114,115,CENTURA ST ANTHONY NORTH HOSPITAL,Short Term,60104,14300 ORCHARD PKWY,WESTMINSTER,CO,APPROPRIATE TRANSFER,2019-11-13,1,,"14300 ORCHARD PKWY, WESTMINSTER, CO","[39.9554628, -104.9915514]",39.9554628,-104.9915514
115,116,CENTURA LITTLETON ADVENTIST HOSPITAL,Short Term,60113,7700 S BROADWAY,LITTLETON,CO,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2016-08-25, 2016-08-25",1,,"7700 S BROADWAY, LITTLETON, CO","[39.5763285, -104.9861653]",39.5763285,-104.9861653
116,117,MEDICAL CENTER OF THE ROCKIES,Short Term,60119,2500 ROCKY MOUNTAIN AVE,LOVELAND,CO,"APPROPRIATE TRANSFER, MEDICAL SCREENING EXAM, ON CALL PHYSICIANS, STABILIZING TREATMENT","2013-02-20, 2014-07-23, 2011-07-20, 2011-07-20",3,,"2500 ROCKY MOUNTAIN AVE, LOVELAND, CO","[40.4156022, -104.9971202]",40.4156022,-104.9971202
117,118,BANNER FORT COLLINS MEDICAL CENTER,Short Term,60126,4700 LADY MOON DR,FORT COLLINS,CO,DELAY IN EXAMINATION OR TREATMENT,2015-12-17,1,,"4700 LADY MOON DR, FORT COLLINS, CO","[40.5212105, -105.0086345]",40.5212105,-105.0086345
118,119,HARTFORD HOSPITAL,Short Term,70025,80 SEYMOUR STREET,HARTFORD,CT,MEDICAL SCREENING EXAM,2014-06-25,1,,"80 SEYMOUR STREET, HARTFORD, CT","[41.7542859, -72.6798455]",41.7542859,-72.6798455
119,120,NORWALK HOSPITAL,Short Term,70034,24 STEVENS STREET,NORWALK,CT,MEDICAL SCREENING EXAM,2022-01-11,1,,"24 STEVENS STREET, NORWALK, CT","[41.1106017, -73.4213647]",41.1106017,-73.4213647
120,121,JACKSON MEMORIAL HOSPITAL,Short Term,100022,1611 NW 12TH AVE,MIAMI,FL,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2013-07-05, 2013-07-05",1,No,"1611 NW 12TH AVE, MIAMI, FL","[25.7914612, -80.2142808]",25.7914612,-80.2142808
121,122,STEWARD NORTH SHORE MEDICAL CENTER,Short Term,100029,1100 NW 95TH ST,MIAMI,FL,"APPROPRIATE TRANSFER, RECIPIENT HOSPITAL RESPONSIBILITIES","2014-04-18, 2019-02-19",2,No,"1100 NW 95TH ST, MIAMI, FL","[25.8604657, -80.21581479999999]",25.8604657,-80.21581479999999
122,123,MOUNT SINAI MEDICAL CENTER,Short Term,100034,4300 ALTON RD,MIAMI BEACH,FL,EMERGENCY ROOM LOG,2013-07-23,1,No,"4300 ALTON RD, MIAMI BEACH, FL","[25.8151541, -80.13827500000001]",25.8151541,-80.13827500000001
123,124,HCA FLORIDA HIGHLANDS HOSPITAL,Short Term,100049,3600 S HIGHLANDS AVE,SEBRING,FL,ON CALL PHYSICIANS,2012-05-02,1,No,"3600 S HIGHLANDS AVE, SEBRING, FL","[27.4656135, -81.4329631]",27.4656135,-81.4329631
124,125,WINTER HAVEN HOSPITAL,Short Term,100052,200 AVE F NE,WINTER HAVEN,FL,MEDICAL SCREENING EXAM,2021-09-02,1,No,"200 AVE F NE, WINTER HAVEN, FL","[28.0279017, -81.7254974]",28.0279017,-81.7254974
125,126,ADVENTHEALTH OCALA,Short Term,100062,1500 SW 1ST AVE,OCALA,FL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, RECIPIENT HOSPITAL RESPONSIBILITIES","2017-06-15, 2017-06-15, 2017-06-15, 2017-08-28",2,No,"1500 SW 1ST AVE, OCALA, FL","[29.1753113, -82.13889329999999]",29.1753113,-82.13889329999999
126,127,SHOREPOINT HEALTH PORT CHARLOTTE,Short Term,100077,2500 HARBOR BLVD,PORT CHARLOTTE,FL,RECIPIENT HOSPITAL RESPONSIBILITIES,2013-10-09,1,No,"2500 HARBOR BLVD, PORT CHARLOTTE, FL","[26.9890286, -82.0957183]",26.9890286,-82.0957183
127,128,SARASOTA MEMORIAL HOSPITAL,Short Term,100087,1700 S TAMIAMI TRL,SARASOTA,FL,"EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2015-08-12, 2015-08-12, 2015-08-12",1,No,"1700 S TAMIAMI TRL, SARASOTA, FL","[27.3185566, -82.531735]",27.3185566,-82.531735
128,129,ROCKLEDGE REGIONAL MEDICAL CENTER,Short Term,100092,110 LONGWOOD AVE,ROCKLEDGE,FL,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2011-05-18, 2011-05-18, 2011-05-18, 2011-05-18",1,No,"110 LONGWOOD AVE, ROCKLEDGE, FL","[28.3351595, -80.7226544]",28.3351595,-80.7226544
129,130,TRI COUNTY HOSPITAL - WILLISTON,Short Term,100139,125 SW 7TH ST,WILLISTON,FL,"MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2011-07-01, 2011-07-01",1,,"125 SW 7TH ST, WILLISTON, FL","[29.38399519999999, -82.45505039999999]",29.38399519999999,-82.45505039999999
130,131,ADVENTHEALTH TAMPA,Short Term,100173,3100 E FLETCHER AVE,TAMPA,FL,STABILIZING TREATMENT,2018-07-03,1,No,"3100 E FLETCHER AVE, TAMPA, FL","[28.0713627, -82.4234311]",28.0713627,-82.4234311
131,132,HCA FLORIDA OCALA HOSPITAL,Short Term,100212,1431 SW 1ST AVE,OCALA,FL,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2018-05-30, 2018-05-30, 2018-05-30, 2018-05-30",1,No,"1431 SW 1ST AVE, OCALA, FL","[29.1755319, -82.1367891]",29.1755319,-82.1367891
132,133,HCA FLORIDA BLAKE HOSPITAL,Short Term,100213,2020 59TH ST W,BRADENTON,FL,MEDICAL SCREENING EXAM,2014-07-01,1,No,"2020 59TH ST W, BRADENTON, FL","[27.4828573, -82.62386529999999]",27.4828573,-82.62386529999999
133,134,TAMPA COMMUNITY HOSPITAL,Short Term,100255,6001 WEBB RD,TAMPA,FL,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2016-11-28, 2016-11-28",1,,"6001 WEBB RD, TAMPA, FL","[28.0020234, -82.5740746]",28.0020234,-82.5740746
134,135,HCA FLORIDA ENGLEWOOD HOSPITAL,Short Term,100267,700 MEDICAL BLVD,ENGLEWOOD,FL,MEDICAL SCREENING EXAM,2012-10-09,1,No,"700 MEDICAL BLVD, ENGLEWOOD, FL","[26.9502551, -82.3267065]",26.9502551,-82.3267065
135,136,VIERA HOSPITAL,Short Term,100315,8745 N WICKHAM RD,MELBOURNE,FL,"MEDICAL SCREENING EXAM, APPROPRIATE TRANSFER","2012-10-25, 2020-09-03",2,No,"8745 N WICKHAM RD, MELBOURNE, FL","[28.228045, -80.729223]",28.228045,-80.729223
136,137,CANDLER HOSPITAL,Short Term,110024,5353 REYNOLDS STREET,SAVANNAH,GA,"COMPLIANCE WITH 489.24, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2017-06-08, 2017-06-08, 2017-06-08",1,No,"5353 REYNOLDS STREET, SAVANNAH, GA","[32.0278294, -81.1001261]",32.0278294,-81.1001261
137,138,ST JOSEPH'S HOSPITAL - SAVANNAH,Short Term,110043,11705 MERCY BOULEVARD,SAVANNAH,GA,"ON CALL PHYSICIANS, APPROPRIATE TRANSFER","2015-03-03, 2015-03-03",1,No,"11705 MERCY BOULEVARD, SAVANNAH, GA","[31.985339, -81.1551099]",31.985339,-81.1551099
138,139,UNION GENERAL HOSPITAL,Short Term,110051,35 HOSPITAL ROAD,BLAIRSVILLE,GA,RECIPIENT HOSPITAL RESPONSIBILITIES,2019-01-24,1,Yes,"35 HOSPITAL ROAD, BLAIRSVILLE, GA","[34.8858798, -83.9623541]",34.8858798,-83.9623541
139,140,EMORY DECATUR HOSPITAL,Short Term,110076,2701 N DECATUR ROAD,DECATUR,GA,EMERGENCY ROOM LOG,2015-09-08,1,No,"2701 N DECATUR ROAD, DECATUR, GA","[33.7915336, -84.28256309999999]",33.7915336,-84.28256309999999
140,141,ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,Short Term,110107,777 HEMLOCK STREET,MACON,GA,"COMPLIANCE WITH 489.24, HOSPITAL MUST MAINTAIN RECORDS, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM","2019-05-17, 2019-05-17, 2019-05-17, 2019-05-17",1,No,"777 HEMLOCK STREET, MACON, GA","[32.8338572, -83.63655229999999]",32.8338572,-83.63655229999999
141,142,MEMORIAL HEALTH MEADOWS HOSPITAL,Short Term,110128,ONE MEADOWS PARKWAY,VIDALIA,GA,"COMPLIANCE WITH 489.24, EMERGENCY ROOM LOG, MEDICAL SCREENING EXAM, STABILIZING TREATMENT","2011-09-28, 2011-09-28, 2011-09-28, 2011-09-28",1,Yes,"ONE MEADOWS PARKWAY, VIDALIA, GA","[32.2071314, -82.377752]",32.2071314,-82.377752
142,143,NORTHSIDE HOSPITAL,Short Term,110161,"1000 JOHNSON FERRY ROAD, NE",ATLANTA,GA,EMERGENCY ROOM LOG,2021-05-06,1,No,"1000 JOHNSON FERRY ROAD, NE, ATLANTA, GA","[33.9093745, -84.3546157]",33.9093745,-84.3546157
143,144,DOCTORS HOSPITAL,Short Term,110177,3651 WHEELER ROAD,AUGUSTA,GA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM, STABILIZING TREATMENT, APPROPRIATE TRANSFER","2019-04-10, 2019-04-10, 2019-04-10, 2019-04-10",1,No,"3651 WHEELER ROAD, AUGUSTA, GA","[33.4862515, -82.0956054]",33.4862515,-82.0956054
144,145,PIEDMONT HENRY HOSPITAL,Short Term,110191,1133 EAGLE'S LANDING PARKWAY,STOCKBRIDGE,GA,"STABILIZING TREATMENT, APPROPRIATE TRANSFER, COMPLIANCE WITH 489.24","2017-12-13, 2017-12-13, 2017-12-13",1,No,"1133 EAGLE'S LANDING PARKWAY, STOCKBRIDGE, GA","[33.5111408, -84.2271275]",33.5111408,-84.2271275
145,146,EMORY HILLANDALE HOSPITAL,Short Term,110226,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,"ON CALL PHYSICIANS, MEDICAL SCREENING EXAM","2015-09-15, 2015-09-15",1,No,"2801 DEKALB MEDICAL PARKWAY, LITHONIA, GA","[33.7058416, -84.148048]",33.7058416,-84.148048
146,147,SAINT JOSEPH REGIONAL MEDICAL CENTER,Short Term,150012,5215 HOLY CROSS PKWY,MISHAWAKA,IN,STABILIZING TREATMENT,2018-08-14,1,No,"5215 HOLY CROSS PKWY, MISHAWAKA, IN","[41.7070429, -86.1734082]",41.7070429,-86.1734082
147,148,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,Short Term,150161,11700 N MERIDIAN ST,CARMEL,IN,"STABILIZING TREATMENT, APPROPRIATE TRANSFER","2018-07-10, 2018-07-10",1,No,"11700 N MERIDIAN ST, CARMEL, IN","[39.9593634, -86.1600739]",39.9593634,-86.1600739
148,149,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,Short Term,160005,311 SOUTH CLARK STREET,CARROLL,IA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2018-05-23, 2018-05-23",1,Yes,"311 SOUTH CLARK STREET, CARROLL, IA","[42.0557208, -94.8657176]",42.0557208,-94.8657176
149,150,TRINITY REGIONAL MEDICAL CENTER,Short Term,160016,802 KENYON RD,FORT DODGE,IA,"COMPLIANCE WITH 489.24, MEDICAL SCREENING EXAM","2022-03-03, 2022-03-03",1,Yes,"802 KENYON RD, FORT DODGE, IA","[42.4924492, -94.19338049999999]",42.4924492,-94.19338049999999
